event_id,source,post_id,event_index,date,title,status,image_paths,image_dimensions,bad_paths,parse_method
7,vavilone_rb,7,0,2026-10-11,11 ОКТЯБРЯ 2026 г.,contains-vk-ui-image,vk_announcements/vavilone_rb/7-1.jpg | vk_announcements/vavilone_rb/7-2.jpg | vk_announcements/vavilone_rb/7-3.jpg | vk_announcements/vavilone_rb/7-4.jpg,vk_announcements/vavilone_rb/7-1.jpg:640x960 | vk_announcements/vavilone_rb/7-2.jpg:108x108 | vk_announcements/vavilone_rb/7-3.jpg:72x72 | vk_announcements/vavilone_rb/7-4.jpg:34x34,vk_announcements/vavilone_rb/7-2.jpg [ava=1] | vk_announcements/vavilone_rb/7-3.jpg [ava=1] | vk_announcements/vavilone_rb/7-4.jpg [type=audio],vk_html_local_generic_v14_primary_date
12,idmamaanarchy,886,0,2026-09-14,Концерт-трибьют к 75-летию Александра Розенбаума,clean,vk_announcements/idmamaanarchy/886-1.jpg,vk_announcements/idmamaanarchy/886-1.jpg:1080x1440,,vk_html_local_structured_v14
15,idmamaanarchy,1140,0,2026-09-14,Паб Мама Анархия,clean,vk_announcements/idmamaanarchy/1140-1.jpg,vk_announcements/idmamaanarchy/1140-1.jpg:1080x1529,,vk_html_local_structured_v14
33,liverpool_pub_vrn,2705,1,2026-09-19,"Алексей Вдовин, билеты vdovinvrn.ticketscloud.org/",missing-poster,,,,vk_html_local_inline_schedule_v131
34,liverpool_pub_vrn,2705,2,2026-09-20,"Игорь Лисов, билеты voronezh.qtickets.events/246771-igo...",missing-poster,,,,vk_html_local_inline_schedule_v131
35,liverpool_pub_vrn,2705,3,2026-09-26,"Алексей Панасовский, билеты moscow.qtickets.events/252371-a-p...",missing-poster,,,,vk_html_local_inline_schedule_v131
45,deadway36,147,0,2026-09-26,"Вступаем во встречу, жмем колокол.; Стерлядь; Аргумент; Фил Лемон; Стерлядь — Поворот; Стерлядь — Поворот; и ещё 1 трек; Добавить в мою музыку; Воспроизвести",clean,vk_announcements/deadway36/147-1.jpg,vk_announcements/deadway36/147-1.jpg:1080x1528,,vk_html_local_structured_v14
48,idmamaanarchy,1137,0,2026-09-13,Когда? 13 сентября (в воскресенье)!,contains-vk-ui-image,vk_announcements/idmamaanarchy/1137-1.jpg | vk_announcements/idmamaanarchy/1137-2.jpg | vk_announcements/idmamaanarchy/1137-3.jpg,vk_announcements/idmamaanarchy/1137-1.jpg:1080x1528 | vk_announcements/idmamaanarchy/1137-2.jpg:1440x1440 | vk_announcements/idmamaanarchy/1137-3.jpg:240x240,vk_announcements/idmamaanarchy/1137-2.jpg [ava=1] | vk_announcements/idmamaanarchy/1137-3.jpg [ava=1],vk_html_local_generic_v14_primary_date
49,idmamaanarchy,1142,0,2026-09-19,"пабе Мама Анархия с электроакустической презентацией нового альбома ""Оркестр Меланхолия""!",contains-vk-ui-image,vk_announcements/idmamaanarchy/1142-1.jpg | vk_announcements/idmamaanarchy/1142-2.jpg,vk_announcements/idmamaanarchy/1142-1.jpg:640x640 | vk_announcements/idmamaanarchy/1142-2.jpg:1440x1440,vk_announcements/idmamaanarchy/1142-2.jpg [ava=1],vk_html_local_generic_v14_primary_date
53,rb_diesel,13685,0,2026-10-01,"Дрфест ""Апекс 29 лет спустя"" / Воронеж 1.10.2026",clean,vk_announcements/rb_diesel/13685-1.jpg,vk_announcements/rb_diesel/13685-1.jpg:1080x1512,,vk_html_local_generic_v14_primary_date
55,idmamaanarchy,1181,0,2026-09-16,"HELLO, СЕЛО",clean,vk_announcements/idmamaanarchy/1181-1.jpg,vk_announcements/idmamaanarchy/1181-1.jpg:1080x1529,,vk_html_local_structured_v14
56,idmamaanarchy,1183,0,2026-09-18,Сквозь время,clean,vk_announcements/idmamaanarchy/1183-1.jpg,vk_announcements/idmamaanarchy/1183-1.jpg:1080x1529,,vk_html_local_structured_v14
